,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Engine,Max Power,Max Torque,Drivetrain,Fuel Tank Capacity,mileage
14,Volkswagen,Polo GT TSI,944999,2017,41417,Petrol,Automatic,Bangalore,Grey,First,1197 cc,103,1500 rpm,FWD,45.0,17.21 kmpl
15,Volkswagen,Polo GT TSI,944999,2017,41417,Petrol,Automatic,Bangalore,Grey,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
16,Volkswagen,Polo GT TSI,944999,2017,41417,Petrol,Automatic,Bangalore,Grey,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
29,Honda,Brio V MT,351000,2014,39276,Petrol,Manual,Mumbai,Red,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
30,Honda,Brio V MT,351000,2014,39276,Petrol,Manual,Mumbai,Red,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
31,Honda,Brio V MT,351000,2014,39276,Petrol,Manual,Mumbai,Red,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
44,Mercedes-Benz,M-Class ML 250 CDI,2300000,2014,105101,Diesel,Automatic,Vadodara,White,First,2143 cc,203,1600 rpm,AWD,70.0,15.26 kmpl
63,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
64,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
65,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
66,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
67,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
68,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
69,Honda,Brio S MT,440000,2016,50374,Petrol,Manual,Vadodara,White,First,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
76,BMW,X3 xDrive20d,1800000,2012,74073,Diesel,Automatic,Hyderabad,Black,First,1995 cc,184,1750 rpm,AWD,67.0,16.09 kmpl
108,Hyundai,Verna 1.6 VTVT SX,750000,2018,16339,Petrol,Manual,Kolkata,Black,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
109,Hyundai,Verna 1.6 VTVT SX,750000,2018,16339,Petrol,Manual,Kolkata,Black,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
110,Hyundai,Verna 1.6 VTVT SX,750000,2018,16339,Petrol,Manual,Kolkata,Black,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
112,Toyota,Corolla Altis 1.8 G,493000,2012,28732,Petrol,Manual,Zirakpur,Silver,First,1798 cc,138,4000 rpm,FWD,55.0,14.28 kmpl
113,Toyota,Corolla Altis 1.8 G,493000,2012,28732,Petrol,Manual,Zirakpur,Silver,First,1798 cc,138,4000 rpm,FWD,55.0,14.28 kmpl
145,Tata,Harrier XZ Plus,2145000,2020,10290,Diesel,Manual,Bangalore,Red,First,1956 cc,168,1750 rpm,FWD,50.0,17.0 kmpl
172,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
173,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
174,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
175,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
176,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
177,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
178,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
179,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
180,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
181,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
182,Hyundai,i20 Magna 1.2,385000,2013,79287,Petrol,Manual,Kanpur,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
232,Volvo,V40 Cross Country D3,1250000,2013,71141,Diesel,Automatic,Navi Mumbai,Silver,First,1984 cc,150,1500 rpm,FWD,60.0,23.3 kmpl
241,Mercedes-Benz,M-Class ML 350 CDI,2682000,2015,76345,Diesel,Automatic,Gurgaon,White,First,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
242,Mercedes-Benz,M-Class ML 350 CDI,2682000,2015,76345,Diesel,Automatic,Gurgaon,White,First,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
320,Toyota,Glanza G CVT,790000,2019,25000,Petrol,Automatic,Delhi,Red,First,1197 cc,82,4200 rpm,FWD,37.0,19.56 kmpl
323,Volkswagen,Polo GT TSI,525000,2015,80852,Petrol,Automatic,Faridabad,Grey,Second,1198 cc,103,1500 rpm,FWD,45.0,17.21 kmpl
324,Volkswagen,Polo GT TSI,525000,2015,80852,Petrol,Automatic,Faridabad,Grey,Second,1198 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
325,Volkswagen,Polo GT TSI,525000,2015,80852,Petrol,Automatic,Faridabad,Grey,Second,1198 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
346,BMW,X3 xDrive20d,1090000,2012,65000,Diesel,Automatic,Delhi,Silver,Second,1995 cc,184,1750 rpm,AWD,67.0,16.09 kmpl
356,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
357,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
358,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
359,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
360,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
361,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
362,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
363,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
364,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
365,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
366,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
367,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.5 kmpl
368,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
369,Hyundai,i20 Sportz 1.2,375000,2013,29135,Petrol,Manual,Panchkula,White,First,1197 cc,83,4000 rpm,FWD,45.0,18.6 kmpl
380,Volkswagen,Polo GT TSI,1095000,2020,43260,Petrol,Automatic,Bangalore,Red,First,1197 cc,103,1500 rpm,FWD,45.0,17.21 kmpl
381,Volkswagen,Polo GT TSI,1095000,2020,43260,Petrol,Automatic,Bangalore,Red,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
382,Volkswagen,Polo GT TSI,1095000,2020,43260,Petrol,Automatic,Bangalore,Red,First,1197 cc,103,1500 rpm,FWD,45.0,17.2 kmpl
399,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
400,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
401,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
402,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
403,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
404,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
405,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,1198 cc,87,4500 rpm,FWD,35.0,19.4 kmpl
419,Toyota,Corolla Altis 1.8 G,725000,2014,104814,Petrol,Manual,Mumbai,Grey,First,1798 cc,138,4000 rpm,FWD,55.0,14.28 kmpl
420,Toyota,Corolla Altis 1.8 G,725000,2014,104814,Petrol,Manual,Mumbai,Grey,First,1798 cc,138,4000 rpm,FWD,55.0,14.28 kmpl
474,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
475,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
476,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
477,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
478,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
479,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
480,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,1396 cc,89,1500 rpm,FWD,45.0,21.19 kmpl
481,Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,Diesel,Automatic,Chandigarh,White,Second,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
482,Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,Diesel,Automatic,Chandigarh,White,Second,2997 cc,254,1600 rpm,AWD,70.0,11.74 kmpl
489,Volvo,V40 Cross Country D3,1595000,2015,44000,Diesel,Automatic,Mumbai,Blue,First,1984 cc,150,1500 rpm,FWD,60.0,23.3 kmpl
555,Hyundai,Verna 1.6 VTVT S,495000,2015,42000,Petrol,Manual,Kolkata,Red,First,1591 cc,121,4200 rpm,FWD,43.0,17.01 kmpl
